 	Task	Responder	sender_entity	sender_name	recipient	block	tool_type	tool	content
 	Bot	Entity.USER	Entity.USER	Bot		None			Hola
 	Bot	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Bot	Entity.AGENT	Entity.USER			None			
*	Bot	Entity.LLM	Entity.LLM			None			¡Hola! ¿En qué puedo ayudarte hoy?
*	Bot	Entity.USER	Entity.USER			None			cual es la capital de china?
 	Bot	Entity.AGENT	Entity.USER			None			
*	Bot	Entity.LLM	Entity.LLM			None			La capital de China es Pekín (o Beijing, en caracteres chinos 北京).
*	Bot	Entity.USER	Entity.USER			None			y la de colombia?
 	Bot	Entity.AGENT	Entity.USER			None			
*	Bot	Entity.LLM	Entity.LLM			None			La capital de Colombia es Bogotá.
*	Bot	Entity.USER	Entity.USER			None			q
 	Task	Responder	sender_entity	sender_name	recipient	block	tool_type	tool	content
 	Teacher	Entity.USER	Entity.USER			None			
 	Teacher	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Teacher	Entity.AGENT	Entity.USER			None			
 	Teacher	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.USER			None			
 	Student	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Student	Entity.AGENT	Entity.USER			None			
 	Student	Entity.LLM	Entity.LLM			None			
*	Student	Entity.USER	Entity.USER			None			
 	Teacher	Student	Entity.USER	Student		None			
*	Teacher	Entity.USER	Entity.USER			None			
 	Teacher	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Teacher	Entity.AGENT	Entity.USER			None			
 	Teacher	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.LLM			None			
 	Task	Responder	sender_entity	sender_name	recipient	block	tool_type	tool	content
 	Teacher	Entity.USER	Entity.USER			None			
 	Teacher	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Teacher	Entity.AGENT	Entity.USER			None			
 	Teacher	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.USER			None			
 	Student	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Student	Entity.AGENT	Entity.USER			None			
 	Student	Entity.LLM	Entity.LLM			None			
*	Student	Entity.USER	Entity.USER			None			
 	Teacher	Student	Entity.USER	Student		None			
*	Teacher	Entity.USER	Entity.USER			None			
 	Teacher	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Teacher	Entity.AGENT	Entity.USER			None			
 	Teacher	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.LLM			None			
 	Student	Entity.USER	Entity.USER			None			
 	Student	Entity.AGENT	Entity.USER			None			
 	Student	Entity.LLM	Entity.LLM	Entity.LLM		None			[CANNOT RESPOND]
*	Student	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.USER			None			
 	Student	Entity.AGENT	Entity.USER			None			
 	Student	Entity.LLM	Entity.LLM	Entity.LLM		None			[CANNOT RESPOND]
*	Student	Entity.LLM	Entity.LLM			None			
*	Student	Entity.USER	Entity.USER			None			q
*	Teacher	Student	Entity.USER	Student		None			q
 	Task	Responder	sender_entity	sender_name	recipient	block	tool_type	tool	content
 	Teacher	Entity.USER	Entity.USER			None			
 	Teacher	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Teacher	Entity.AGENT	Entity.USER			None			
 	Teacher	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.USER			None			
 	Student	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Student	Entity.AGENT	Entity.USER			None			
 	Student	Entity.LLM	Entity.LLM			None			
*	Student	Entity.USER	Entity.USER			None			
 	Teacher	Student	Entity.USER	Student		None			
*	Teacher	Entity.USER	Entity.USER			None			
 	Teacher	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Teacher	Entity.AGENT	Entity.USER			None			
 	Teacher	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.LLM			None			
*	Student	Entity.USER	Entity.USER			None			hola
 	Student	Entity.AGENT	Entity.USER			None			
*	Student	Entity.LLM	Entity.LLM			None			Hola! ¿Cómo estás? (How are you?)
*	Student	Entity.USER	Entity.USER			None			x
*	Teacher	Student	Entity.USER	Student		None			x
 	Task	Responder	sender_entity	sender_name	recipient	block	tool_type	tool	content
 	Teacher	Entity.USER	Entity.USER			None			
 	Teacher	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
 	Teacher	Entity.AGENT	Entity.USER			None			
 	Teacher	Entity.LLM	Entity.LLM			None			
 	Student	Entity.USER	Entity.USER			None			
 	Student	Entity.USER	Entity.USER	Entity.USER		None			[CANNOT RESPOND]
